px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
17.7022	18.5007	4.7105	2.32794	0.45846	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973	5.75131
17.4673	18.6552	4.77613	2.39549	0.521726	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509	0.651312
17.2706	18.7784	4.75474	2.44904	0.562981	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817	1.60129
17.1239	18.9237	4.7089	2.45972	0.5387	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904	0.271161
16.9861	19.1262	4.72235	2.44299	0.483057	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678	2.60598
16.6522	19.1202	4.73743	2.6175	0.700435	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455	1.48646
16.5266	19.3425	4.74717	2.5555	0.5546	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938	4.31803
16.3134	19.5275	4.82933	2.55993	0.518762	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237	0.925508
16.0507	19.5581	4.80644	2.65134	0.598158	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364	8.83836
15.9146	19.7917	4.82017	2.58069	0.451851	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329	0.747677
15.7269	19.9207	4.79342	2.58061	0.403352	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141	1.96055
15.5111	20.1036	4.86786	2.57322	0.361807	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081	0.812733
15.2844	20.2318	4.90748	2.62056	0.428086	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347	5.20386
15.1435	20.4229	4.86787	2.57349	0.329519	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763	0.394526
14.847	20.4151	4.88577	2.71142	0.517142	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068	3.49031
14.6597	20.5746	4.88751	2.68943	0.447631	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272	0.158267
14.3919	20.6191	4.92001	2.77781	0.560802	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386	1.28567
14.101	20.6192	4.95311	2.87563	0.661541	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421	0.373233
13.8851	20.7234	4.94221	2.87013	0.599066	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386	0.243123
13.5725	20.7213	5.02544	2.96079	0.685148	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294	0.820544
13.3361	20.7632	5.00697	2.98939	0.674695	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153	0.663415
